,stock_name,disclosure_date,piotroski_score,purpose,mean_volume,mean_close,lowest_point_1,stoploss,1st_exit,2nd_exit,3rd_exit,4th_exit,5th_exit,6th_exit,7th_exit,8th_exit,9th_exit,10th_exit
4288,Dynemic Products,2021-06-05,6,Annually,77478.39516129032,569.118781551238,10.183763915311541,10.183763915311541,4.834712361380087,15.4472428702867,10.999704674453659,36.01708419627222,27.69780434496873,15.069985944793057,25.47404133498349,11.575501214816247,20.222384824102317,27.767304168449165
4289,Dynemic Products,2024-05-30,8,Quarterly-03,94397.31428571428,302.55714416503906,4.788067818729181,4.788067818729181,13.052436742889748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4290,Dynemic Products,2023-11-10,4,Quarterly-9,53893.934131736525,288.82425182593795,4.828787458742852,6.508994900951789,11.176355413893164,5.377130937822104,-1.1561843541665313,4.808212515690033,3.8539179774457804,-2.550931141728129,2.64267989240608,0.0,0.0,0.0
4291,Dynemic Products,2023-05-30,7,Quarterly-03,44965.31836734694,303.9399998878946,3.276620698321812,20.6699779709478,-0.5948693599966485,-6.284312493308569,21.446010045292258,3.4014718820260024,-6.833433413863248,-15.222695471239648,-7.260521256639063,-14.444776494574704,-9.106155185335178,-3.5997523588748157
4292,NR Agarwal Industries,2024-05-27,5,Annually,29737.054054054053,465.6229734678526,14.930560733828468,14.930560733828468,12.979746941429813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4293,NR Agarwal Industries,2023-05-11,8,Annually,24829.39837398374,378.7376014275279,1.5433356558655733,1.5433356558655733,16.036630131600212,14.828521780166643,26.909581508393703,43.64769966327196,43.62820694723254,40.958691973341956,51.344503844965,84.4504974805159,84.29461521747223,67.5759897786334
4294,NR Agarwal Industries,2022-05-19,7,Annually,22544.4435483871,286.9739917632072,17.918088203981807,17.918088203981807,-8.393633466798049,-0.26876540784341485,22.637998188251494,57.742398334574354,62.91089107161807,36.61359750186153,29.522427990315634,18.172412892411437,0.8476277615189817,-11.122600155635228
4295,NR Agarwal Industries,2021-05-25,5,Annually,47841.29317269076,267.73493975903614,18.35623256958713,18.506141635547642,-4.5427313602344155,-4.322599516405974,23.87431800056957,27.047530048168237,17.12947781550393,-0.056478939445852035,-4.252579846196905,2.57361500994294,-9.89423034976504,6.147332463785591
4296,NR Agarwal Industries,2024-05-27,5,Quarterly-03,29737.054054054053,465.6229734678526,14.930560733828468,14.930560733828468,12.979746941429813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4297,NR Agarwal Industries,2023-10-23,6,Quarterly-9,21389.977653631286,440.05251376189335,0.0,0.0,1.1040057112732213,17.707722117334676,47.7193475232087,30.055194079199936,25.566530179862195,37.98663432973843,20.06100678213695,48.31492791840512,0.0,0.0
