,companyName,disclosure_date,piotroski_score,purpose
530,Avenue Supermarts,2023-05-13,8,Annually
531,Avenue Supermarts,2022-05-14,5,Annually
532,Avenue Supermarts,2021-05-08,5,Annually
533,Avenue Supermarts,2024-05-04,5,Quarterly-03
534,Avenue Supermarts,2023-10-14,6,Quarterly-9
535,Avenue Supermarts,2023-05-13,6,Quarterly-03
536,Voltas,2024-05-07,6,Annually
537,Voltas,2023-04-26,5,Annually
538,Voltas,2022-05-05,4,Annually
539,Voltas,2021-05-12,5,Annually
540,Voltas,2024-05-07,6,Quarterly-03
541,Voltas,2023-10-19,7,Quarterly-9
542,Voltas,2023-04-26,7,Quarterly-03
543,Bata India,2024-05-29,6,Annually
544,Bata India,2023-05-18,7,Annually
545,Bata India,2022-05-25,8,Annually
546,Bata India,2021-06-09,5,Annually
547,Bata India,2024-05-29,7,Quarterly-03
548,Bata India,2023-11-08,6,Quarterly-9
549,Bata India,2023-05-18,7,Quarterly-03
550,Delta Corp,2024-05-07,4,Annually
551,Delta Corp,2023-04-11,6,Annually
552,Delta Corp,2022-04-11,6,Annually
553,Delta Corp,2021-04-26,4,Annually
