,stockLink,stockName,stockSymbol
124,https://www.livemint.com/market/market-stats/stocks-colgate-palmolive-india-share-price-nse-bse-s0003140,Colgate Palmolive India,COLPAL
125,https://www.livemint.com/market/market-stats/stocks-hindustan-construction-company-share-price-nse-bse-s0003141,Hindustan Construction Company,HCC
126,https://www.livemint.com/market/market-stats/stocks-laurus-labs-share-price-nse-bse-s0003142,Laurus Labs,LAURUSLABS
127,https://www.livemint.com/market/market-stats/stocks-subex-share-price-nse-bse-s0003143,Subex,SUBEXLTD
128,https://www.livemint.com/market/market-stats/stocks-hdfc-asset-management-company-share-price-nse-bse-s0003144,HDFC Asset Management Company,HDFCAMC
129,https://www.livemint.com/market/market-stats/stocks-heg-share-price-nse-bse-s0003145,HEG,HEG
130,https://www.livemint.com/market/market-stats/stocks-godrej-properties-share-price-nse-bse-s0003146,Godrej Properties,GODREJPROP
131,https://www.livemint.com/market/market-stats/stocks-idfc-share-price-nse-bse-s0003147,IDFC,IDFC
132,https://www.livemint.com/market/market-stats/stocks-bombay-dyeing-manufacturing-share-price-nse-bse-s0003148,Bombay Dyeing &amp; Manufacturing,BOMDYEING
133,https://www.livemint.com/market/market-stats/stocks-adani-green-energy-share-price-nse-bse-s0003149,Adani Green Energy,ADANIGREEN
134,https://www.livemint.com/market/market-stats/stocks-zydus-lifesciences-share-price-nse-bse-s0003150,Zydus Lifesciences,ZYDUSLIFE
135,https://www.livemint.com/market/market-stats/stocks-welspun-corp-share-price-nse-bse-s0003151,Welspun Corp,WELCORP
136,https://www.livemint.com/market/market-stats/stocks-petronet-lng-share-price-nse-bse-s0003152,Petronet LNG,PETRONET
137,https://www.livemint.com/market/market-stats/stocks-affle-india-share-price-nse-bse-s0003153,Affle India,AFFLE
138,https://www.livemint.com/market/market-stats/stocks-abb-india-share-price-nse-bse-s0003154,ABB India,ABB
139,https://www.livemint.com/market/market-stats/stocks-mahanagar-gas-share-price-nse-bse-s0003155,Mahanagar Gas,MGL
140,https://www.livemint.com/market/market-stats/stocks-adani-total-gas-share-price-nse-bse-s0003156,Adani Total Gas,ATGL
141,https://www.livemint.com/market/market-stats/stocks-cholamandalam-investment-finance-company-share-price-nse-bse-s0003157,Cholamandalam Investment &amp; Finance Company,CHOLAFIN
142,https://www.livemint.com/market/market-stats/stocks-tata-elxsi-share-price-nse-bse-s0003158,Tata Elxsi,TATAELXSI
143,https://www.livemint.com/market/market-stats/stocks-shipping-corporation-of-india-share-price-nse-bse-s0003159,Shipping Corporation Of India,SCI
144,https://www.livemint.com/market/market-stats/stocks-lti-mindtree-share-price-nse-bse-s0003160,LTI Mindtree,LTIM
145,https://www.livemint.com/market/market-stats/stocks-pidilite-industries-share-price-nse-bse-s0003161,Pidilite Industries,PIDILITIND
146,https://www.livemint.com/market/market-stats/stocks-graphite-india-share-price-nse-bse-s0003162,Graphite India,GRAPHITE
147,https://www.livemint.com/market/market-stats/stocks-crompton-greaves-consumer-electricals-share-price-nse-bse-s0003163,Crompton Greaves Consumer Electricals,CROMPTON
148,https://www.livemint.com/market/market-stats/stocks-container-corporation-of-india-share-price-nse-bse-s0003164,Container Corporation Of India,CONCOR
149,https://www.livemint.com/market/market-stats/stocks-tata-steel-partly-paid-share-price-nse-bse-s0003165,Tata Steel Partly Paid,Tata Steel Partly Paid
150,https://www.livemint.com/market/market-stats/stocks-gmr-airports-infrastructure-share-price-nse-bse-s0003166,GMR Airports Infrastructure,GMRINFRA
151,https://www.livemint.com/market/market-stats/stocks-wockhardt-share-price-nse-bse-s0003167,Wockhardt,WOCKPHARMA
152,https://www.livemint.com/market/market-stats/stocks-power-finance-corp-share-price-nse-bse-s0003168,Power Finance Corp,PFC
153,https://www.livemint.com/market/market-stats/stocks-alok-industries-share-price-nse-bse-s0003169,Alok Industries,ALOKINDS
154,https://www.livemint.com/market/market-stats/stocks-pfizer-share-price-nse-bse-s0003170,Pfizer,PFIZER
155,https://www.livemint.com/market/market-stats/stocks-hfcl-share-price-nse-bse-s0003171,HFCL,HFCL
156,https://www.livemint.com/market/market-stats/stocks-gmm-pfaudler-share-price-nse-bse-s0003172,GMM Pfaudler,GMMPFAUDLR
157,https://www.livemint.com/market/market-stats/stocks-marico-share-price-nse-bse-s0003173,Marico,MARICO
158,https://www.livemint.com/market/market-stats/stocks-icici-lombard-general-insurance-company-share-price-nse-bse-s0003174,ICICI Lombard General Insurance Company,ICICIGI
159,https://www.livemint.com/market/market-stats/stocks-united-spirits-share-price-nse-bse-s0003175,United Spirits,UNITDSPR
160,https://www.livemint.com/market/market-stats/stocks-ncc-share-price-nse-bse-s0003176,NCC,NCC
161,https://www.livemint.com/market/market-stats/stocks-strides-pharma-science-share-price-nse-bse-s0003177,Strides Pharma Science,STAR
162,https://www.livemint.com/market/market-stats/stocks-nhpc-share-price-nse-bse-s0003178,NHPC,NHPC
163,https://www.livemint.com/market/market-stats/stocks-ramco-systems-share-price-nse-bse-s0003179,Ramco Systems,RAMCOSYS
164,https://www.livemint.com/market/market-stats/stocks-dixon-technologies-india-share-price-nse-bse-s0003180,Dixon Technologies (India),DIXON
165,https://www.livemint.com/market/market-stats/stocks-urja-global-share-price-nse-bse-s0003181,Urja Global,URJA
166,https://www.livemint.com/market/market-stats/stocks-grasim-industries-share-price-nse-bse-s0003182,Grasim Industries,GRASIM
167,https://www.livemint.com/market/market-stats/stocks-manappuram-finance-share-price-nse-bse-s0003183,Manappuram Finance,MANAPPURAM
168,https://www.livemint.com/market/market-stats/stocks-dish-tv-india-share-price-nse-bse-s0003184,Dish Tv India,DISHTV
169,https://www.livemint.com/market/market-stats/stocks-snowman-logistics-share-price-nse-bse-s0003185,Snowman Logistics,SNOWMAN
170,https://www.livemint.com/market/market-stats/stocks-jsw-energy-share-price-nse-bse-s0003186,JSW Energy,JSWENERGY
171,https://www.livemint.com/market/market-stats/stocks-mrf-share-price-nse-bse-s0003187,MRF,MRF
